i, t, y, v
192, 0.960000, 6.797276, -3.766976
193, 0.965000, 6.778441, -3.759609
194, 0.970000, 6.759643, -3.752201
195, 0.975000, 6.740882, -3.744754
196, 0.980000, 6.722158, -3.737268
197, 0.985000, 6.703472, -3.729744
198, 0.990000, 6.684823, -3.722184
199, 0.995000, 6.666212, -3.714588
200, 1.000000, 6.647639, -3.706959
201, 1.005000, 6.629105, -3.699296
202, 1.010000, 6.610608, -3.691601
203, 1.015000, 6.592150, -3.683875
204, 1.020000, 6.573731, -3.676119
205, 1.025000, 6.555350, -3.668334
206, 1.030000, 6.537008, -3.660521
207, 1.035000, 6.518706, -3.652680
208, 1.040000, 6.500442, -3.644814
209, 1.045000, 6.482218, -3.636922
210, 1.050000, 6.464034, -3.629006
211, 1.055000, 6.445889, -3.621066
212, 1.060000, 6.427783, -3.613103
213, 1.065000, 6.409718, -3.605119
214, 1.070000, 6.391692, -3.597114
215, 1.075000, 6.373707, -3.589089
216, 1.080000, 6.355761, -3.581044
217, 1.085000, 6.337856, -3.572981
218, 1.090000, 6.319991, -3.564900
219, 1.095000, 6.302167, -3.556802
220, 1.100000, 6.284383, -3.548687
221, 1.105000, 6.266639, -3.540557
222, 1.110000, 6.248936, -3.532413
223, 1.115000, 6.231274, -3.524254
224, 1.120000, 6.213653, -3.516081
225, 1.125000, 6.196073, -3.507896
226, 1.130000, 6.178533, -3.499699
227, 1.135000, 6.161035, -3.491490
228, 1.140000, 6.143577, -3.483271
229, 1.145000, 6.126161, -3.475041
230, 1.150000, 6.108786, -3.466802
231, 1.155000, 6.091452, -3.458554
232, 1.160000, 6.074159, -3.450297
233, 1.165000, 6.056907, -3.442033
234, 1.170000, 6.039697, -3.433761
235, 1.175000, 6.022528, -3.425483
236, 1.180000, 6.005401, -3.417199
237, 1.185000, 5.988315, -3.408909
238, 1.190000, 5.971270, -3.400614
239, 1.195000, 5.954267, -3.392314
240, 1.200000, 5.937306, -3.384011
241, 1.205000, 5.920386, -3.375703
242, 1.210000, 5.903507, -3.367393
243, 1.215000, 5.886670, -3.359080
244, 1.220000, 5.869875, -3.350765
245, 1.225000, 5.853121, -3.342449
246, 1.230000, 5.836409, -3.334131
247, 1.235000, 5.819738, -3.325813
248, 1.240000, 5.803109, -3.317494
249, 1.245000, 5.786522, -3.309175
250, 1.250000, 5.769976, -3.300857
251, 1.255000, 5.753471, -3.292539
252, 1.260000, 5.737009, -3.284223
253, 1.265000, 5.720588, -3.275909
254, 1.270000, 5.704208, -3.267597
255, 1.275000, 5.687870, -3.259287
256, 1.280000, 5.671574, -3.250980
257, 1.285000, 5.655319, -3.242676
258, 1.290000, 5.639105, -3.234376
259, 1.295000, 5.622934, -3.226079
260, 1.300000, 5.606803, -3.217787
261, 1.305000, 5.590714, -3.209499
262, 1.310000, 5.574667, -3.201216
263, 1.315000, 5.558661, -3.192939
264, 1.320000, 5.542696, -3.184666
265, 1.325000, 5.526773, -3.176400
266, 1.330000, 5.510891, -3.168140
267, 1.335000, 5.495050, -3.159886
268, 1.340000, 5.479250, -3.151639
269, 1.345000, 5.463492, -3.143398
270, 1.350000, 5.447775, -3.135165
271, 1.355000, 5.432099, -3.126940
272, 1.360000, 5.416465, -3.118722
273, 1.365000, 5.400871, -3.110512
274, 1.370000, 5.385319, -3.102311
275, 1.375000, 5.369807, -3.094118
276, 1.380000, 5.354336, -3.085933
277, 1.385000, 5.338907, -3.077758
278, 1.390000, 5.323518, -3.069592
279, 1.395000, 5.308170, -3.061435
280, 1.400000, 5.292863, -3.053288
281, 1.405000, 5.277596, -3.045151
282, 1.410000, 5.262371, -3.037024
283, 1.415000, 5.247186, -3.028907
284, 1.420000, 5.232041, -3.020801
285, 1.425000, 5.216937, -3.012705
286, 1.430000, 5.201873, -3.004621
287, 1.435000, 5.186850, -2.996547
288, 1.440000, 5.171868, -2.988485
289, 1.445000, 5.156925, -2.980434
290, 1.450000, 5.142023, -2.972394
291, 1.455000, 5.127161, -2.964366
292, 1.460000, 5.112339, -2.956351
293, 1.465000, 5.097557, -2.948347
294, 1.470000, 5.082816, -2.940356
295, 1.475000, 5.068114, -2.932377
296, 1.480000, 5.053452, -2.924410
297, 1.485000, 5.038830, -2.916457
298, 1.490000, 5.024248, -2.908516
299, 1.495000, 5.009705, -2.900588
300, 1.500000, 4.995202, -2.892673
301, 1.505000, 4.980739, -2.884772
302, 1.510000, 4.966315, -2.876884
303, 1.515000, 4.951931, -2.869009
304, 1.520000, 4.937586, -2.861148
305, 1.525000, 4.923280, -2.853301
306, 1.530000, 4.909013, -2.845468
307, 1.535000, 4.894786, -2.837649
308, 1.540000, 4.880598, -2.829844
309, 1.545000, 4.866448, -2.822053
310, 1.550000, 4.852338, -2.814276
311, 1.555000, 4.838267, -2.806514
312, 1.560000, 4.824234, -2.798767
313, 1.565000, 4.810240, -2.791034
314, 1.570000, 4.796285, -2.783315
315, 1.575000, 4.782369, -2.775612
316, 1.580000, 4.768491, -2.767923
317, 1.585000, 4.754651, -2.760250
318, 1.590000, 4.740850, -2.752591
319, 1.595000, 4.727087, -2.744948
320, 1.600000, 4.713362, -2.737320
321, 1.605000, 4.699675, -2.729707
322, 1.610000, 4.686027, -2.722110
323, 1.615000, 4.672416, -2.714528
324, 1.620000, 4.658844, -2.706961
325, 1.625000, 4.645309, -2.699411
326, 1.630000, 4.631812, -2.691875
327, 1.635000, 4.618353, -2.684356
328, 1.640000, 4.604931, -2.676852
329, 1.645000, 4.591546, -2.669365
330, 1.650000, 4.578200, -2.661893
331, 1.655000, 4.564890, -2.654437
332, 1.660000, 4.551618, -2.646997
333, 1.665000, 4.538383, -2.639573
334, 1.670000, 4.525185, -2.632166
335, 1.675000, 4.512024, -2.624774
336, 1.680000, 4.498900, -2.617399
337, 1.685000, 4.485813, -2.610040
338, 1.690000, 4.472763, -2.602697
339, 1.695000, 4.459750, -2.595371
340, 1.700000, 4.446773, -2.588061
341, 1.705000, 4.433833, -2.580768
342, 1.710000, 4.420929, -2.573491
343, 1.715000, 4.408061, -2.566230
344, 1.720000, 4.395230, -2.558986
345, 1.725000, 4.382435, -2.551759
346, 1.730000, 4.369676, -2.544548
347, 1.735000, 4.356954, -2.537354
348, 1.740000, 4.344267, -2.530176
349, 1.745000, 4.331616, -2.523015
350, 1.750000, 4.319001, -2.515871
351, 1.755000, 4.306422, -2.508744
352, 1.760000, 4.293878, -2.501633
353, 1.765000, 4.281370, -2.494539
354, 1.770000, 4.268897, -2.487462
355, 1.775000, 4.256460, -2.480402
356, 1.780000, 4.244058, -2.473358
357, 1.785000, 4.231691, -2.466332
358, 1.790000, 4.219359, -2.459322
359, 1.795000, 4.207063, -2.452329
360, 1.800000, 4.194801, -2.445353
361, 1.805000, 4.182574, -2.438394
362, 1.810000, 4.170382, -2.431452
363, 1.815000, 4.158225, -2.424527
364, 1.820000, 4.146102, -2.417619
365, 1.825000, 4.134014, -2.410727
366, 1.830000, 4.121961, -2.403853
367, 1.835000, 4.109941, -2.396995
368, 1.840000, 4.097956, -2.390155
369, 1.845000, 4.086006, -2.383331
370, 1.850000, 4.074089, -2.376525
371, 1.855000, 4.062206, -2.369735
372, 1.860000, 4.050358, -2.362963
373, 1.865000, 4.038543, -2.356207
374, 1.870000, 4.026762, -2.349468
375, 1.875000, 4.015014, -2.342746
376, 1.880000, 4.003301, -2.336042
377, 1.885000, 3.991621, -2.329354
378, 1.890000, 3.979974, -2.322683
379, 1.895000, 3.968360, -2.316029
380, 1.900000, 3.956780, -2.309392
381, 1.905000, 3.945233, -2.302772
382, 1.910000, 3.933719, -2.296169
383, 1.915000, 3.922239, -2.289583
384, 1.920000, 3.910791, -2.283013
385, 1.925000, 3.899376, -2.276461
386, 1.930000, 3.887993, -2.269926
387, 1.935000, 3.876644, -2.263407
388, 1.940000, 3.865327, -2.256905
389, 1.945000, 3.854042, -2.250420
390, 1.950000, 3.842790, -2.243952
391, 1.955000, 3.831570, -2.237501
392, 1.960000, 3.820383, -2.231067
393, 1.965000, 3.809227, -2.224650
394, 1.970000, 3.798104, -2.218249
395, 1.975000, 3.787013, -2.211865
396, 1.980000, 3.775954, -2.205498
397, 1.985000, 3.764926, -2.199147
398, 1.990000, 3.753930, -2.192814
399, 1.995000, 3.742966, -2.186497
400, 2.000000, 3.732034, -2.180196
401, 2.005000, 3.721133, -2.173913
402, 2.010000, 3.710263, -2.167646
403, 2.015000, 3.699425, -2.161396
404, 2.020000, 3.688618, -2.155162
405, 2.025000, 3.677842, -2.148945
406, 2.030000, 3.667097, -2.142744
407, 2.035000, 3.656384, -2.136560
408, 2.040000, 3.645701, -2.130393
409, 2.045000, 3.635049, -2.124242
410, 2.050000, 3.624428, -2.118108
411, 2.055000, 3.613837, -2.111990
412, 2.060000, 3.603277, -2.105889
413, 2.065000, 3.592748, -2.099804
414, 2.070000, 3.582249, -2.093735
415, 2.075000, 3.571780, -2.087683
416, 2.080000, 3.561342, -2.081647
417, 2.085000, 3.550934, -2.075627
418, 2.090000, 3.540555, -2.069624
419, 2.095000, 3.530207, -2.063637
420, 2.100000, 3.519889, -2.057667
421, 2.105000, 3.509601, -2.051712
422, 2.110000, 3.499342, -2.045774
423, 2.115000, 3.489113, -2.039852
